function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
11178;libLLVM-13.so;void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >);;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,0,0,0,0,0,100";
5708;libLLVM-13.so;llvm::Value::setName(llvm::Twine const&);;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,0,0,0,0,0,100";
5676;libLLVM-13.so;llvm::TypeFinder::run(llvm::Module const&, bool);;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,0,0,0,0,0,100";
4301;libLLVM-13.so;llvm::Argument::removeAttrs(llvm::AttrBuilder const&);;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,0,0,0,0,0,100";
3638;libc.so.6;__strlen_evex;;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,100,0,0,0,0,0";
229;libgomp.so.1.0.0;gomp_thread_start;;0.01;0;0;0;0;6.8593994910771e-06;2;"0,0,100,0,0,0,0,0,0,0";
173;libgomp.so.1.0.0;gomp_ialias_omp_get_num_threads;;0.01;0;0;0;0;6.8593994910771e-06;2;"0,0,100,0,0,0,0,0,0,0";
143;libmpi.so.12.2.2;pthread_mutex_unlock@plt;;0.01;0;0;0;0;6.2436607549898e-05;2;"0,100,0,0,0,0,0,0,0,0";
5674;libLLVM-13.so;llvm::TypeFinder::incorporateValue(llvm::Value const*);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
5643;libLLVM-13.so;llvm::PointerType::get(llvm::Type*, unsigned int);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
5107;libLLVM-13.so;llvm::PMDataManager::initializeAnalysisImpl(llvm::Pass*);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
2681;libLLVM-13.so;llvm::getConstantRangeFromMetadata(llvm::MDNode const&);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
645;libstdc++.so.6.0.29;operator new(unsigned long);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
322;libigc.so.1.0.1;std::vector<AugmentationMasks, std::allocator<AugmentationMasks> >::_M_default_append(unsigned long);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
261;libigc.so.1.0.1;std::_Rb_tree<unsigned int, std::pair<unsigned int const, unsigned int>, std::_Select1st<std::pair<unsigned int const, unsigned int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned int const, unsigned int> >, unsigned int const&);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
16968;libLLVM-13.so;llvm::computeConstantRange(llvm::Value const*, bool, llvm::AssumptionCache*, llvm::Instruction const*, unsigned int);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
16706;libLLVM-13.so;llvm::TargetLibraryAnalysis::run(llvm::Function const&, llvm::AnalysisManager<llvm::Function>&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
12739;libLLVM-13.so;llvm::GVN::runImpl(llvm::Function&, llvm::AssumptionCache&, llvm::DominatorTree&, llvm::TargetLibraryInfo const&, llvm::AAResults&, llvm::MemoryDependenceResults*, llvm::LoopInfo*, llvm::OptimizationRemarkEmitter*, llvm::MemorySSA*);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
12555;libLLVM-13.so;void std::vector<std::pair<llvm::Value*, llvm::Value*>, std::allocator<std::pair<llvm::Value*, llvm::Value*> > >::_M_realloc_insert<std::pair<llvm::Value*, llvm::Value*> >(__gnu_cxx::__normal_iterator<std::pair<llvm::Value*, llvm::Value*>*, std::vector<std::pair<llvm::Value*, llvm::Value*>, std::allocator<std::pair<llvm::Value*, llvm::Value*> > > >, std::pair<llvm::Value*, llvm::Value*>&&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
12381;libLLVM-13.so;llvm::ValueMapper::scheduleRemapFunction(llvm::Function&, unsigned int);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
11235;libLLVM-13.so;llvm::MetadataLoader::upgradeDebugIntrinsics(llvm::Function&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
